communityname,state,population,householdsize,racepctblack,racepctwhite,racepctasian,racepcthisp,numburban,pcturban,medincome,pctwwage,pctwpubasst,pctwretire,medfaminc,percapinc,whitepercap,blackpercap,indianpercap,asianpercap,otherpercap,hisppercap,numunderpov,pctpopunderpov,pctless9thgrade,pctnothsgrad,pctbsormore,pctunemployed,pctemploy,pctemplmanu,pctemplprofserv,pctoccupmanu,pctoccupmgmtprof,malepctdivorce,malepctnevmarr,femalepctdiv,totalpctdiv,persperfam,pctfam2par,pctkids2par,pctyoungkids2par,pctimmigrecent,pctspeakenglonly,pctnotspeakenglwell,pctlarghousefam,pctlarghouseoccup,pctpersownoccup,pctpersdensehous,pcthousless3br,mednumbr,housvacant,pcthousoccup,pcthousownocc,pctvacantboarded,pctvacmore6mos,medyrhousbuilt,pcthousnophone,pctwofullplumb,ownocclowquart,ownoccmedval,ownocchiquart,ownoccqrange,rentlowq,rentmedian,renthighq,rentqrange,medrent,medrentpcthousinc,medowncostpctinc,medowncostpctincnomtg,numinshelters,numstreet,pctforeignborn,pctbornsamestate,pctsamehouse85,pctsamecity85,pctsamestate85,policreqperoffic,landarea,popdens,pctusepubtrans,lemaspctofficdrugun,murders,murdperpop,rapes,rapesperpop,robberies,robbbperpop,assaults,assaultperpop,burglaries,burglperpop,larcenies,larcperpop,autotheft,autotheftperpop,arsons,violentcrimesperpop,city,mayor,statename,party affiliation
Westontown,MA,10200,3.04,0.73,94.36,4.66,1.64,9332,91.49,95134,79.1,1.81,11.96,108751,46855,47312,28634,0,42130,14974.0,9669,342,3.6,1.3,3.42,68.19,3.62,60.48,12.06,40.05,1.39,58.26,3.95,28.33,5.81,4.98,3.07,90.1,89.72,97.8,7.58,90.39,0.66,3.96,3.22,89.73,0.15,12.2,4,158,95.5,86.72,0.63,53.16,1956,0.0,0.0,361600,497900,500001,138401,475,989,1001,526,1001,27.8,20.1,13.4,0,0,8.41,54.68,66.94,80.7,91.8,,17.6,578.6,7.26,0.0,0,0.0,1.0,9.46,0.0,0.0,12.0,113.5,39.0,368.86,80.0,756.64,1.0,9.46,0.0,122.95,Weston,,Massachusetts,
Nilestownship,MI,12828,2.7,2.7,95.64,0.43,1.26,7484,58.34,28745,78.94,5.93,17.27,32176,12211,12219,14063,10355,7185,2000.0,14604,969,7.62,7.73,22.88,10.41,7.56,61.72,27.99,18.86,21.13,17.6,10.02,23.79,12.84,11.49,3.07,76.44,72.67,84.82,4.21,96.91,0.48,4.08,3.18,84.47,1.75,33.79,3,198,95.99,84.53,9.09,34.85,1959,3.56,0.2,32300,44000,62500,30200,241,294,355,114,373,24.9,16.2,12.3,0,0,1.48,52.03,60.51,83.48,88.91,,39.1,328.5,0.24,0.0,0,0.0,,,1.0,7.59,11.0,83.46,51.0,386.95,223.0,1691.96,14.0,106.22,5.0,,Niles,,Michigan,
Delawarecity,OH,20030,2.81,4.57,94.09,0.81,0.77,0,0.0,28975,81.23,5.98,14.83,34699,12155,12361,9784,19678,4787,9149.0,8727,1757,9.8,6.45,20.57,20.2,4.32,63.21,23.83,27.64,18.59,24.45,10.43,33.82,13.27,11.94,3.06,74.93,73.19,83.46,28.5,96.65,0.09,3.3,2.27,59.76,1.53,47.35,3,523,93.17,55.35,0.96,26.58,1965,7.22,0.25,50700,68100,90900,40200,257,331,404,147,423,24.0,18.4,12.3,0,0,1.96,72.21,43.13,71.03,88.22,,10.8,1852.0,0.35,0.0,1,4.56,24.0,109.32,16.0,72.88,17.0,77.44,202.0,920.15,719.0,3275.18,49.0,223.2,12.0,264.2,Delaware,,Ohio,
Staffordtownship,NJ,13325,2.61,0.25,98.73,0.68,1.25,0,0.0,31689,66.32,5.2,25.7,34772,14628,14386,120,7368,82133,22354.0,15817,1022,7.72,7.71,27.82,12.48,6.23,54.54,6.0,22.44,11.17,21.66,7.24,23.91,10.19,8.79,3.03,79.43,76.53,85.1,3.67,92.54,0.67,4.06,3.01,82.86,1.49,26.22,3,3183,61.64,83.73,0.41,45.77,1974,2.27,0.4,104800,132300,169800,65000,439,584,672,233,732,29.6,29.0,16.6,0,0,4.48,63.11,57.22,81.36,94.25,,49.3,270.3,0.92,0.0,1,7.29,6.0,43.73,1.0,7.29,24.0,174.91,109.0,794.4,286.0,2084.4,10.0,72.88,3.0,233.22,Stafford,,New Jersey,
Erlangercity,KY,15979,2.71,1.01,98.26,0.38,0.55,15979,100.0,33502,86.63,3.84,12.25,37793,13303,13329,13442,32000,7391,6212.0,21546,858,5.38,5.45,17.79,16.17,2.84,74.11,17.64,16.68,15.57,21.52,9.21,25.41,12.69,11.03,3.17,78.31,76.58,91.31,20.59,97.41,0.42,4.32,3.26,72.56,1.71,40.57,3,188,96.91,67.91,1.06,19.68,1968,1.61,0.33,54100,64400,73300,19200,306,358,408,102,394,21.1,15.7,12.0,0,0,1.06,64.59,54.35,76.32,88.27,,8.6,1858.0,2.96,0.0,0,0.0,4.0,25.15,5.0,31.44,85.0,534.46,64.0,402.41,421.0,2647.13,14.0,88.03,0.0,591.05,Erlanger,,Kentucky,
Natchezcity,MS,19460,2.54,50.34,49.31,0.23,0.5,0,0.0,16769,64.79,15.81,16.21,22258,10387,14988,5876,4872,16278,,17758,6051,31.79,15.56,31.12,18.69,12.38,47.77,14.39,27.69,13.11,31.42,11.68,30.57,14.89,13.49,3.12,53.27,47.08,52.64,9.46,98.09,0.26,5.45,3.69,62.23,3.71,42.94,3,1000,88.45,62.36,4.0,53.2,1957,8.54,0.95,31200,45700,70000,38800,99,169,274,175,277,28.2,21.0,15.6,0,0,0.38,79.54,61.25,87.63,92.11,,13.7,1422.1,0.85,0.0,2,10.27,15.0,76.99,36.0,184.79,54.0,277.18,283.0,1452.62,1124.0,5769.43,20.0,102.66,8.0,549.22,Natchez,,Mississippi,
NorthReadingtown,MA,12002,2.95,0.3,98.68,0.9,0.71,10321,85.99,52707,90.25,2.7,14.91,57127,19100,19101,0,0,21259,0.0,15783,246,2.09,2.8,13.22,27.64,5.44,70.34,18.22,22.98,8.23,37.03,5.33,29.87,7.75,6.57,3.27,87.5,85.49,95.1,6.06,96.31,0.3,5.28,4.28,91.36,0.89,29.24,3,111,97.34,88.34,4.5,24.32,1961,0.62,0.0,159900,190300,240300,80400,414,643,825,411,710,24.2,22.8,12.3,0,0,3.02,80.21,67.37,87.98,96.43,,13.7,873.9,2.55,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,64.3,38.0,305.44,136.0,1093.16,22.0,176.83,2.0,64.3,North Reading,,Massachusetts,
Westminstercity,CA,78118,3.12,1.11,69.63,22.55,19.07,78118,100.0,41364,82.86,9.94,16.01,45007,15530,17828,13457,15392,10236,8973.0,9392,8859,11.44,10.13,24.87,18.15,5.72,66.08,24.61,16.35,14.56,26.0,8.62,35.46,12.81,10.69,3.47,76.86,70.66,87.62,21.41,62.28,12.03,13.33,10.22,59.82,14.63,46.72,3,775,97.0,62.77,3.74,13.16,1967,1.12,0.33,188400,226100,277600,89200,600,690,873,273,736,31.1,22.7,11.4,0,2,29.13,39.71,48.31,77.57,86.87,,10.4,7508.5,2.04,0.0,10,12.48,11.0,13.72,202.0,252.02,175.0,218.34,1208.0,1507.14,2554.0,3186.45,965.0,1203.96,10.0,496.56,Westminster,Nan McNally,California,
Vernoncity,TX,12001,2.62,10.64,76.62,0.66,15.39,0,0.0,20396,66.82,6.07,13.36,25371,9613,10887,3827,9686,6600,6688.0,6210,2196,19.59,19.94,39.1,12.19,5.61,53.54,12.89,39.29,17.45,20.3,10.67,27.27,11.38,11.04,3.07,75.83,67.94,80.3,0.0,87.27,1.74,5.47,3.69,67.2,4.54,54.42,2,795,85.22,66.86,5.53,59.25,1957,11.17,1.56,21200,35800,56600,35400,147,214,289,142,319,24.9,19.1,14.5,0,0,1.95,78.41,57.68,80.46,95.59,,8.4,1436.2,0.29,0.0,2,16.73,17.0,142.21,12.0,100.38,262.0,2191.73,262.0,2191.73,294.0,2459.43,10.0,83.65,9.0,2451.06,Vernon,,Texas,
Edmondscity,WA,30744,2.43,0.92,93.53,4.03,1.96,30744,100.0,40515,78.76,3.16,18.11,48440,20868,21045,15752,13999,20973,11954.0,12023,1414,4.66,2.28,9.76,31.01,3.28,67.01,13.51,26.56,7.94,34.7,9.55,25.0,14.05,11.95,2.88,77.57,77.01,87.86,9.32,92.46,1.2,2.75,1.92,71.47,2.0,40.76,3,317,97.55,66.99,0.0,20.5,1968,0.86,0.29,119100,160100,225000,105900,411,476,579,168,534,26.7,19.1,11.1,10,0,8.1,49.88,52.93,71.87,88.87,,7.6,4064.5,5.89,0.0,1,3.24,6.0,19.46,27.0,87.55,26.0,84.31,248.0,804.15,852.0,2762.65,81.0,262.65,4.0,194.55,Edmonds,Mike Rosen,Washington,
Steubenvillecity,OH,22125,2.46,15.45,83.41,0.68,0.99,22125,100.0,17631,55.25,19.01,21.93,23897,11362,11725,7025,4326,73920,11889.0,18258,5018,24.28,12.58,30.84,13.29,11.56,40.92,21.38,32.49,16.99,25.0,10.09,31.35,12.46,11.43,2.94,61.83,60.18,68.98,8.13,91.8,0.76,3.91,2.53,62.68,0.86,46.03,3,1017,89.83,59.1,9.83,65.88,1948,5.77,1.11,28500,44100,66600,38100,124,186,263,139,262,27.9,15.9,12.8,21,0,3.5,67.93,59.05,85.42,88.77,,8.4,2634.1,1.01,0.0,2,9.08,6.0,27.24,43.0,195.25,370.0,1680.06,189.0,858.19,519.0,2356.63,67.0,304.23,,1911.64,Steubenville,,Ohio,
Florencecity,SC,29813,2.69,47.04,52.28,0.45,0.57,29813,100.0,24906,74.4,11.81,13.95,31048,12831,19015,5919,2760,23257,5923.0,15387,6266,21.83,16.43,30.88,22.54,6.17,56.82,17.05,28.57,15.16,27.92,10.14,35.5,14.99,12.85,3.19,56.8,48.79,62.59,21.24,96.07,0.41,7.15,4.88,59.21,4.77,43.04,3,716,93.93,57.39,2.23,44.69,1965,9.6,0.94,41500,59200,90400,48900,149,243,346,197,367,25.8,18.9,13.4,18,1,1.52,75.73,55.09,83.5,90.02,,15.3,1951.1,1.24,0.0,1,3.08,20.0,61.6,180.0,554.43,344.0,1059.57,629.0,1937.41,2108.0,6492.95,175.0,539.03,6.0,1678.68,Florence,Teresa Myers Ervin,South Carolina,
Chinocity,CA,59682,3.82,9.75,67.31,3.44,36.17,59682,100.0,41958,87.93,7.13,10.64,46480,12916,15281,6888,10360,11026,8011.0,8948,3772,7.36,11.44,25.79,11.82,5.53,56.41,20.1,17.51,15.19,22.94,6.9,48.37,12.69,9.3,3.63,79.91,75.09,89.72,11.41,69.45,5.65,11.59,9.44,69.36,11.75,38.59,3,501,96.9,67.89,1.0,10.98,1976,2.26,0.43,139400,172200,208400,69000,498,605,696,198,656,30.2,25.2,12.5,0,0,17.22,56.77,43.8,60.7,93.11,,17.7,3379.5,0.53,0.0,8,12.29,18.0,27.65,127.0,195.07,466.0,715.76,798.0,1225.69,1933.0,2969.0,685.0,1052.13,48.0,950.76,Chino,Eunice M. Ulloa,California,
Ogdensburgcity,NY,13521,3.1,8.27,87.94,0.67,5.55,0,0.0,23394,70.44,10.4,22.8,29441,11213,10576,19024,6609,33444,3919.0,4085,1554,13.97,10.81,32.03,11.85,9.22,44.61,12.75,36.91,14.96,23.43,8.77,43.01,13.44,10.92,3.17,68.6,67.41,86.27,5.68,90.54,1.84,5.37,3.73,65.06,1.21,43.67,3,243,94.73,59.86,6.58,51.44,1939,5.89,0.59,27800,39000,54400,26600,205,266,324,119,325,24.3,18.4,13.0,0,0,5.08,85.96,54.56,79.36,95.29,,5.2,2575.8,0.77,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.6,81.0,615.97,524.0,3984.79,12.0,91.25,,7.6,Ogdensburg,,New York,
Portsmouthcity,VA,103907,2.68,47.33,51.21,0.8,1.31,103907,100.0,24601,76.39,10.41,22.15,28517,11158,14147,7935,10528,10842,8516.0,8903,17920,17.74,12.62,33.36,11.62,7.33,57.5,18.46,23.52,15.94,20.93,12.47,31.11,16.3,14.52,3.13,59.44,50.46,68.38,8.21,96.02,0.65,5.65,4.04,56.28,4.27,50.04,2,3542,91.62,55.87,7.65,39.16,1958,9.86,0.47,53800,67400,86400,32600,235,327,399,164,416,28.3,22.9,13.6,3,16,1.34,65.45,53.77,78.73,89.2,724.6,34.3,3026.2,3.49,6.76,33,31.58,56.0,53.59,746.0,713.84,532.0,509.07,1720.0,1645.85,5008.0,4792.12,1252.0,1198.03,127.0,1308.07,Portsmouth,Shannon E. Glover,Virginia,
Ludlowtown,MA,18820,2.71,0.2,98.92,0.59,2.02,14849,78.9,36247,77.74,5.2,19.59,40914,14273,14236,17783,41000,3037,31408.0,14074,753,4.0,15.68,33.26,11.89,4.75,66.8,32.46,17.58,21.24,19.02,6.47,27.77,8.19,7.36,3.14,84.69,83.1,93.86,4.0,70.78,5.55,3.37,2.59,80.85,1.41,37.77,3,234,96.75,76.7,0.85,53.42,1960,1.57,0.26,104000,128300,157900,53900,325,443,554,229,522,25.1,19.5,13.9,0,0,16.07,72.71,69.07,92.99,95.27,,28.1,669.1,0.2,0.0,0,0.0,4.0,20.69,4.0,20.69,56.0,289.72,135.0,698.43,290.0,1500.34,57.0,294.89,23.0,331.11,Ludlow,,Massachusetts,
Hallandalecity,FL,30996,1.81,14.17,84.01,0.47,8.76,30996,100.0,20841,46.02,4.44,15.82,26931,16950,18733,6699,24519,21000,8703.0,11461,4904,15.96,11.11,32.08,14.08,7.32,35.44,8.96,17.63,9.0,25.24,12.24,20.81,11.41,11.77,2.44,54.54,48.36,63.74,6.64,74.58,2.84,2.18,1.09,63.69,4.73,89.98,2,7663,69.1,66.78,1.0,40.79,1971,3.89,0.34,59300,76600,114300,55000,328,431,571,243,517,34.9,25.0,13.0,0,0,24.98,14.64,56.43,74.88,83.03,,4.4,7115.7,3.73,0.0,3,9.86,14.0,46.0,175.0,574.96,398.0,1307.62,655.0,2151.99,1132.0,3719.16,284.0,933.07,3.0,1938.43,Hallandale,Joy Cooper,Florida,
Goodlettsvillecity,TN,11219,2.55,3.44,95.17,1.08,0.57,11219,100.0,35483,85.07,2.82,15.13,40271,15576,15679,15154,12670,11127,13103.0,20895,539,4.85,7.44,21.3,17.76,2.2,72.19,16.5,20.08,10.82,29.58,10.18,23.18,13.96,12.19,2.97,79.82,76.4,89.86,13.3,97.09,0.69,2.73,2.03,67.78,1.32,42.81,3,367,92.29,64.04,0.27,14.44,1974,2.59,0.46,66300,82800,103700,37400,350,404,467,117,489,22.7,21.0,13.4,0,0,2.08,68.91,46.0,71.73,86.86,,14.1,793.0,0.69,0.0,0,0.0,0.0,0.0,26.0,214.79,50.0,413.05,127.0,1049.15,1075.0,8880.63,92.0,760.02,1.0,627.84,Goodlettsville,,Tennessee,
Montgomerycity,AL,187106,2.67,42.34,56.53,0.73,0.8,187106,100.0,26311,78.37,8.47,16.02,31959,12755,17144,7035,11775,7019,5909.0,11360,32778,18.08,8.69,24.25,24.61,7.0,61.38,10.31,25.84,12.49,28.55,11.02,31.3,15.21,13.32,3.2,63.65,57.12,70.79,12.38,96.32,0.51,6.24,4.31,62.01,4.57,40.37,3,6668,91.3,60.08,7.84,31.51,1967,5.46,0.43,44100,62200,87900,43800,184,294,381,197,381,24.8,19.6,12.8,109,5,1.51,72.25,49.5,79.33,87.25,186.8,139.8,1338.0,1.54,3.5,39,19.79,87.0,44.15,562.0,285.21,1007.0,511.05,3558.0,1805.67,5843.0,2965.3,1214.0,616.1,70.0,860.21,Montgomery,Steven Reed,Alabama,
Randolphtownship,NJ,19974,2.88,2.98,90.88,5.33,3.26,15849,79.35,64403,89.61,2.09,11.69,73978,26746,27047,21590,6000,25990,12565.0,17229,526,2.64,3.01,8.77,48.1,3.32,71.88,19.98,26.05,5.78,46.36,5.59,27.48,8.01,6.83,3.3,89.03,88.69,96.84,13.19,87.81,1.18,4.14,3.26,79.95,1.31,30.3,3,312,95.69,71.06,0.64,26.92,1971,0.51,0.23,201400,255800,339100,137700,611,676,735,124,710,24.2,23.9,12.9,0,0,9.3,52.23,55.46,78.27,85.01,,21.7,919.5,1.93,0.0,0,0.0,0.0,0.0,3.0,14.5,6.0,29.0,53.0,256.15,309.0,1493.4,15.0,72.5,0.0,43.5,Randolph,Not Found,New Jersey,
LaMesacity,CA,52931,2.28,3.0,90.24,3.09,9.78,52931,100.0,31171,74.87,6.51,20.2,37943,16700,17172,12720,16110,12062,11326.0,11048,4765,9.24,3.64,13.32,24.25,4.93,61.71,10.13,26.48,8.41,30.89,12.32,33.13,17.36,15.02,2.79,67.21,66.32,83.07,14.73,87.01,1.69,2.89,1.71,51.24,4.4,59.77,2,948,96.08,48.24,0.42,11.18,1964,1.5,0.34,134000,163700,197000,63000,466,552,672,206,594,30.1,22.8,10.7,0,0,9.04,43.11,44.48,80.68,88.37,,9.6,5541.4,2.79,0.0,1,1.83,10.0,18.32,147.0,269.29,108.0,197.84,679.0,1243.84,1494.0,2736.82,555.0,1016.69,5.0,487.28,La Mesa,Mark Arapostathis,California,
Montebellocity,CA,59564,3.2,0.97,47.05,15.11,67.6,59564,100.0,31441,76.96,13.72,12.72,34416,12276,12533,14843,9690,18047,9442.0,10146,8246,14.0,20.28,39.19,14.61,6.73,58.24,21.31,19.57,18.88,21.63,8.4,37.61,13.31,10.97,3.59,66.71,60.37,76.26,17.52,31.36,17.82,13.84,10.83,48.8,22.78,64.86,2,575,97.0,48.35,2.26,25.22,1962,2.98,0.7,163700,213600,281300,117600,469,574,665,196,623,31.3,23.0,11.0,0,0,39.04,48.13,54.89,88.03,90.0,,8.6,6964.9,5.98,0.0,4,6.47,30.0,48.52,255.0,412.43,506.0,818.4,565.0,913.83,1823.0,2948.5,721.0,1166.14,63.0,1285.83,Montebello,Scarlet Peralta,California,
NewBerlincity,WI,33592,2.87,0.24,98.4,0.99,0.83,33592,100.0,49394,87.68,1.62,15.92,52752,18245,18278,2963,18432,16913,8104.0,9018,569,1.7,3.28,9.69,28.66,2.54,73.98,23.74,23.06,11.49,32.64,5.17,24.37,6.29,5.74,3.18,90.24,88.88,95.14,5.04,95.63,0.41,3.74,3.09,89.21,0.74,23.76,3,407,96.64,84.63,0.25,10.32,1968,0.29,0.07,81000,96700,119700,38700,510,575,645,135,631,20.9,20.9,12.7,0,0,2.89,79.09,62.05,72.57,93.7,,38.2,880.1,0.76,0.0,0,0.0,2.0,5.52,4.0,11.04,35.0,96.63,200.0,552.15,548.0,1512.89,29.0,80.06,29.0,113.19,New Berlin,David Ament,Wisconsin,
Arkadelphiacity,AR,10014,2.9,25.66,73.09,0.55,0.81,0,0.0,16848,70.16,9.95,17.18,25598,9106,10545,5227,738,7681,0.0,6909,2228,28.09,12.71,27.6,29.64,5.68,53.74,9.69,45.53,12.03,31.93,6.26,45.85,9.86,8.25,2.91,63.78,58.4,64.27,10.93,95.97,0.7,3.45,2.23,57.37,2.58,49.06,3,287,92.33,54.7,1.74,45.99,1967,13.64,0.62,34900,49600,70600,35700,131,199,276,145,274,27.9,19.0,12.8,24,0,1.83,71.08,41.27,62.43,86.7,,7.2,1397.8,0.62,0.0,1,9.42,0.0,0.0,4.0,37.69,0.0,0.0,24.0,226.14,271.0,2553.47,14.0,131.91,0.0,47.11,Arkadelphia,,Arkansas,
Shrewsburytown,MA,24146,2.6,1.06,94.78,3.74,1.37,22191,91.9,44248,79.86,2.51,16.61,53208,20508,20501,18232,14667,23263,11015.0,14550,902,3.76,3.94,12.83,36.63,4.95,66.24,20.7,24.86,7.45,38.4,7.11,29.34,8.75,7.96,3.12,86.54,85.93,91.91,9.13,91.46,0.65,3.78,2.67,77.78,0.9,43.98,3,753,92.51,70.39,0.93,47.41,1963,0.42,0.4,135600,166000,215200,79600,477,599,682,205,658,25.9,23.2,14.2,0,0,6.12,72.44,61.93,83.29,90.75,,21.5,1124.1,0.54,0.0,0,0.0,2.0,7.95,7.0,27.82,97.0,385.56,157.0,624.06,522.0,2074.89,40.0,159.0,0.0,421.34,Shrewsbury,,Massachusetts,
Dartmouthtown,MA,27244,2.96,0.72,97.03,0.84,1.02,19279,70.76,35138,73.81,6.49,18.34,39755,15389,15533,6677,5805,13609,10254.0,15381,1436,5.74,19.2,33.14,21.37,7.85,58.01,17.33,28.75,14.13,27.0,5.57,32.89,7.83,6.77,3.15,83.1,81.16,88.19,1.23,76.85,4.18,3.6,2.84,84.49,1.22,32.77,3,799,92.0,80.04,1.38,57.32,1964,0.89,0.38,114700,149100,196400,81700,182,320,521,339,380,28.0,22.3,13.8,0,0,11.6,74.24,62.78,87.96,95.97,,63.7,427.4,0.78,0.0,0,0.0,1.0,3.49,14.0,48.8,70.0,243.98,263.0,916.66,999.0,3481.93,157.0,547.21,0.0,296.26,Dartmouth,,Massachusetts,
NewCanaantown,CT,17864,2.75,1.29,96.46,1.95,1.38,11207,62.82,91951,81.37,2.36,14.85,109512,52692,52798,19067,31839,69086,25835.0,25798,448,2.54,1.83,5.11,62.6,2.77,62.41,12.0,28.27,2.22,53.74,4.51,25.54,8.47,6.62,3.1,87.79,88.34,95.0,10.32,91.26,0.48,4.26,3.31,82.78,0.4,17.99,4,354,94.84,79.24,0.28,48.02,1959,0.52,0.45,400500,500001,500001,99501,714,1001,1001,287,1001,24.4,22.5,13.3,0,0,9.34,26.78,59.86,79.97,80.96,,22.9,779.2,17.42,0.0,0,0.0,2.0,11.03,2.0,11.03,5.0,27.57,59.0,325.36,223.0,1229.73,15.0,82.72,0.0,49.63,New Canaan,,Connecticut,
BrighamCitycity,UT,15644,3.17,0.07,94.75,0.91,5.01,0,0.0,33784,81.25,4.64,21.11,37181,11819,11949,0,5497,10803,12921.0,10348,1062,6.83,3.87,15.92,22.23,7.05,60.34,37.88,19.29,12.53,32.44,6.42,22.42,9.08,7.79,3.63,84.48,85.45,90.65,0.0,94.56,0.83,16.35,13.15,78.8,3.85,29.02,3,275,94.72,74.9,1.82,37.82,1962,3.29,0.13,54600,66300,81600,27000,204,270,333,129,353,19.2,16.8,11.6,20,0,1.77,68.58,60.89,83.74,92.67,,12.9,1211.2,0.66,0.0,0,0.0,6.0,35.31,1.0,5.89,9.0,52.97,98.0,576.74,547.0,3219.16,8.0,47.08,0.0,94.16,Brigham City,,Utah,
Clevelandcity,TN,30354,2.53,7.17,91.55,0.47,1.44,0,0.0,22894,75.67,8.61,13.53,28715,12265,12638,7845,6815,10781,10031.0,11329,5054,17.38,18.61,33.81,17.07,5.58,58.95,32.95,22.42,23.06,25.1,10.62,26.44,13.99,12.46,2.94,72.7,68.83,77.88,17.46,96.7,0.79,2.97,2.05,58.41,2.31,49.64,3,1054,91.92,55.06,0.28,19.92,1969,8.66,0.37,41500,60900,85400,43900,178,247,314,136,319,24.8,20.0,12.9,2,0,1.53,63.19,47.33,77.47,84.41,,20.5,1477.2,0.05,0.0,1,2.92,12.0,35.04,23.0,67.16,265.0,773.84,369.0,1077.53,1038.0,3031.1,132.0,385.46,1.0,878.96,Cleveland,Justin Bibb,Tennessee,Democrat
Carpinteriacity,CA,13747,2.78,0.76,81.36,2.15,36.56,13747,100.0,34827,78.86,5.4,12.95,40940,15615,17093,12937,12775,14633,7921.0,8700,802,5.92,10.23,23.73,22.6,3.75,69.18,13.79,22.23,12.52,24.58,11.01,33.81,15.61,13.28,3.26,73.68,67.86,85.07,21.1,69.34,11.27,9.71,6.72,52.86,12.04,62.07,2,505,90.75,56.52,0.59,24.16,1972,3.17,0.44,239100,284400,348400,109300,537,707,902,365,759,30.6,26.6,11.5,67,0,18.75,49.81,46.04,76.28,88.04,,2.8,4902.6,2.94,0.0,0,0.0,4.0,29.14,7.0,51.0,55.0,400.73,126.0,918.03,203.0,1479.05,19.0,138.43,3.0,480.87,Carpinteria,,California,
Salinascity,CA,108777,3.26,3.01,54.55,8.08,50.64,108777,100.0,31271,82.22,11.66,15.22,33121,11351,14318,11375,11467,12656,6149.0,6829,16652,15.58,23.31,37.7,13.02,10.81,61.85,10.03,17.8,14.34,17.77,9.28,32.84,14.91,12.12,3.67,71.15,66.11,77.12,13.08,52.85,16.42,15.8,11.97,44.98,22.21,58.77,2,1217,96.48,46.25,0.99,14.05,1970,3.97,0.73,132400,161500,194000,61600,434,528,647,213,580,28.3,24.4,11.2,68,86,26.42,49.63,41.54,79.66,89.25,691.4,19.3,5637.3,2.28,8.33,15,12.46,50.0,41.52,560.0,465.05,844.0,700.9,1327.0,1102.01,4844.0,4022.72,784.0,651.08,63.0,1219.94,Salinas,Kimbley Craig,California,
Oviedocity,FL,11114,2.93,12.24,84.18,1.59,6.91,11114,100.0,40221,91.69,1.75,10.61,42843,14266,15244,8520,193,11220,11184.0,9319,866,7.83,2.53,9.5,34.85,3.57,74.27,17.12,23.89,8.38,35.16,7.37,22.47,10.74,9.1,3.22,82.71,78.66,93.7,17.81,90.64,0.6,3.81,3.16,81.79,2.85,19.75,3,417,90.1,80.61,0.96,20.38,1987,3.16,0.52,78800,92800,113800,35000,357,484,565,208,570,28.2,23.8,12.1,0,0,4.19,33.19,20.73,38.17,65.39,,13.9,801.0,0.0,0.0,0,0.0,4.0,28.54,23.0,164.11,89.0,635.03,288.0,2054.94,532.0,3795.93,54.0,385.3,1.0,827.68,Oviedo,,Florida,
PalisadesParkborough,NJ,14536,2.52,1.57,75.06,20.02,11.5,14536,100.0,36019,80.41,2.82,12.49,44334,17995,18694,12721,0,16528,12247.0,12849,1117,7.7,10.5,22.03,26.55,5.45,63.62,18.27,18.55,13.15,29.47,7.3,33.01,8.85,8.11,3.11,82.8,81.29,92.35,28.55,52.64,10.7,4.37,2.98,43.87,6.77,64.29,2,272,95.5,38.43,0.37,41.18,1957,0.83,0.0,172800,208500,249900,77100,500,649,846,346,711,27.5,24.8,14.7,0,0,38.48,38.02,55.44,71.13,76.96,,1.3,11613.9,16.57,0.0,0,0.0,0.0,0.0,8.0,52.63,9.0,59.21,60.0,394.71,180.0,1184.13,47.0,309.19,0.0,111.83,Palisades Parkborough,,New Jersey,
Plainsborotownship,NJ,14213,2.08,10.71,78.21,9.88,3.88,0,0.0,46915,95.73,1.06,3.46,60105,27799,29857,17767,0,22147,24273.0,20359,219,1.54,1.42,3.84,59.22,3.39,83.75,20.65,26.52,4.56,48.58,10.16,37.33,11.72,10.93,2.86,81.15,81.81,90.34,25.23,82.59,1.53,1.83,0.95,47.77,1.98,76.88,2,929,88.02,39.34,0.22,22.82,1982,0.53,0.19,157500,211100,271500,114000,603,647,731,128,727,23.8,25.6,14.3,0,0,15.08,38.77,22.34,41.09,65.59,,12.4,1141.9,9.49,0.0,1,6.75,2.0,13.51,6.0,40.52,15.0,101.31,74.0,499.8,265.0,1789.81,31.0,209.37,2.0,162.1,Plainsboro,,New Jersey,
Saginawcity,MI,69512,2.66,40.35,52.26,0.43,10.51,69512,100.0,17736,63.65,25.53,18.68,21900,8944,11361,6385,6774,3566,5942.0,6103,21647,31.72,10.42,31.43,9.25,17.82,45.72,20.65,25.89,20.12,17.49,13.01,37.23,17.02,15.25,3.21,45.11,40.94,46.83,13.54,92.48,0.62,7.11,4.87,59.24,4.17,47.02,3,1807,93.54,57.55,13.12,46.93,1944,9.02,0.82,22500,32800,44500,22000,208,267,323,115,343,35.1,17.0,14.8,38,1,1.77,74.5,58.48,89.99,94.47,1013.6,18.1,3846.4,1.63,9.84,22,30.99,,,479.0,674.65,1586.0,2233.8,1817.0,2559.15,3307.0,4657.75,245.0,345.07,131.0,,Saginaw,Brenda Fay Moore,Michigan,
